1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
q,q,d,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,q,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,d,q,q
q,q,d,q,q,q,q,q,q,u,q,q,q,q,q,q,q,q,u,q,u,q,q,q,q,q,q,q,q,q,u,q,q,q,q,q,q,d,q,q
q,q,d,q,q,q,q,q,q,u,q,q,q,q,q,q,q,q,u,q,u,q,q,q,q,q,q,q,q,q,u,q,q,q,q,q,q,d,q,q
q,q,d,q,q,q,q,q,q,u,q,q,q,q,q,q,q,q,u,q,u,q,q,q,q,q,q,q,q,q,u,q,q,q,q,q,q,d,q,q
q,q,d,q,q,q,q,q,q,u,q,q,q,q,q,q,q,q,u,q,u,q,q,q,q,q,q,q,q,q,u,q,q,q,q,q,q,d,q,q
q,q,d,q,q,q,r,"d,r",r,"u,r",r,r,r,r,r,r,r,r,"u,r","d,r","u,r","d,r",r,r,r,r,r,r,r,r,u,q,q,q,q,q,q,d,q,q
q,q,d,q,q,q,u,d,u,u,q,x,x,x,x,x,x,x,u,d,u,d,x,x,x,x,x,x,x,q,u,q,q,q,q,q,q,d,q,q
q,"u,r","d,r",r,r,r,"u,r",d,u,u,l,l,l,l,l,l,l,l,"u,l","d,l","u,l","d,l",l,l,l,l,l,l,l,l,"u,l",l,"d,l",l,l,l,l,"d,l","u,l",q
q,"u,r","d,r",r,r,r,r,"d,r","u,r","u,r",r,r,r,r,r,r,r,r,"u,r","d,r","u,r","d,r",r,r,r,r,r,r,r,r,u,u,d,"d,l",l,l,l,"d,l","u,l",q
q,u,d,q,q,q,q,d,u,u,q,x,x,x,x,x,x,x,u,d,u,d,x,x,x,x,x,x,x,q,u,u,d,d,q,q,q,d,u,q
q,u,d,q,q,q,q,d,u,u,l,l,l,l,l,l,l,l,"u,l","d,l","u,l","d,l",l,l,l,l,l,l,l,l,"u,l","u,l","d,l",l,q,q,q,d,u,q
q,u,d,q,q,q,r,"d,r","u,r","u,r",r,r,r,r,r,r,r,r,"u,r","d,r","u,r","d,r",r,r,r,r,r,r,r,r,u,u,d,q,q,q,q,d,u,q
q,u,d,q,q,q,"u,r",d,u,u,q,x,x,x,x,x,x,x,u,d,u,d,x,x,x,x,x,x,x,q,q,u,d,q,q,q,q,d,u,q
q,"u,r","d,r",r,r,r,"u,r",d,u,u,l,l,l,l,l,l,l,l,"u,l","d,l","u,l","d,l",l,l,l,l,l,l,l,l,l,"u,l","d,l",l,l,l,l,"d,l","u,l",q
q,"u,r","d,r",r,r,r,r,"d,r","u,r",r,r,r,r,r,r,r,r,r,"u,r","d,r","u,r","d,r",r,r,r,r,r,r,r,r,d,u,d,"d,l",l,l,l,"d,l","u,l",q
q,u,d,q,q,q,q,d,u,q,q,x,x,x,x,x,x,x,u,d,u,d,x,x,x,x,x,x,x,q,d,u,d,d,q,q,q,d,u,q
q,u,d,q,q,q,q,d,u,d,l,l,l,l,l,l,l,l,"u,l","d,l","u,l","d,l",l,l,l,l,l,l,l,l,"d,l","u,l","d,l",l,q,q,q,d,u,q
q,u,d,q,q,q,r,"d,r","u,r","d,r",r,r,r,r,r,r,r,r,"u,r","d,r","u,r","d,r",r,r,r,r,r,r,r,r,d,u,d,q,q,q,q,d,u,q
q,u,d,q,q,q,u,d,u,d,q,x,x,x,x,x,x,x,u,d,u,d,x,x,x,x,x,x,x,q,d,u,d,q,q,q,q,d,u,q
q,"u,r","d,r",r,r,r,"u,r",d,u,d,l,l,l,l,l,l,l,l,"u,l","d,l","u,l","d,l",l,l,l,l,l,l,l,l,"d,l","u,l","d,l",l,l,l,l,"d,l","u,l",q
q,"u,r","d,r",r,r,r,r,"d,r","u,r","d,r",r,r,r,r,r,r,r,r,"u,r","d,r","u,r","d,r",r,r,r,r,r,r,r,r,d,u,d,"d,l",l,l,l,"d,l","u,l",q
q,u,q,q,q,q,q,q,q,d,q,x,x,x,x,x,x,x,u,d,u,d,x,x,x,x,x,x,x,q,d,u,d,d,q,q,q,q,u,q
q,u,q,q,q,q,q,q,q,d,l,l,l,l,l,l,l,l,"u,l","d,l","u,l","d,l",l,l,l,l,l,l,l,l,"d,l","u,l","d,l",l,q,q,q,q,u,q
q,u,q,q,q,q,q,q,q,d,q,q,q,q,q,q,q,q,q,d,q,d,q,q,q,q,q,q,q,q,d,q,q,q,q,q,q,q,u,q
q,u,q,q,q,q,q,q,q,d,q,q,q,q,q,q,q,q,q,d,q,d,q,q,q,q,q,q,q,q,d,q,q,q,q,q,q,q,u,q
q,u,q,q,q,q,q,q,q,d,q,q,q,q,q,q,q,q,q,d,q,d,q,q,q,q,q,q,q,q,d,q,q,q,q,q,q,q,u,q
q,u,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,q,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,u,q
